cora(45) | Train Loss 0.3992 | Train Acc 0.9500 | Val Loss 0.8320 | Val Acc 0.8080 | Test Loss 0.7961 | Test Acc 0.7920
cora(45) | Train Loss 0.3136 | Train Acc 0.9643 | Val Loss 0.7534 | Val Acc 0.8120 | Test Loss 0.6870 | Test Acc 0.7960
cora(45) | Train Loss 0.1964 | Train Acc 0.9857 | Val Loss 0.7436 | Val Acc 0.8040 | Test Loss 0.6619 | Test Acc 0.7970
cora(45) | Train Loss 0.4016 | Train Acc 0.9643 | Val Loss 0.8519 | Val Acc 0.8000 | Test Loss 0.8186 | Test Acc 0.7970
pubmed(2) | Train Loss 0.2863 | Train Acc 0.9833 | Val Loss 0.6964 | Val Acc 0.7640 | Test Loss 0.6972 | Test Acc 0.7520
pubmed(2) | Train Loss 0.1126 | Train Acc 0.9833 | Val Loss 0.6072 | Val Acc 0.7580 | Test Loss 0.6180 | Test Acc 0.7560
pubmed(2) | Train Loss 0.3481 | Train Acc 0.9833 | Val Loss 0.7244 | Val Acc 0.7640 | Test Loss 0.7249 | Test Acc 0.7550
pubmed(2) | Train Loss 0.1969 | Train Acc 0.9833 | Val Loss 0.6377 | Val Acc 0.7760 | Test Loss 0.6410 | Test Acc 0.7510
pubmed(2) | Train Loss 0.2905 | Train Acc 0.9833 | Val Loss 0.6709 | Val Acc 0.7760 | Test Loss 0.6751 | Test Acc 0.7510
pubmed(2) | Train Loss 0.2510 | Train Acc 0.9833 | Val Loss 0.6374 | Val Acc 0.7620 | Test Loss 0.6435 | Test Acc 0.7580
pubmed(2) | Train Loss 1.0475 | Train Acc 0.9500 | Val Loss 1.0703 | Val Acc 0.7480 | Test Loss 1.0698 | Test Acc 0.7180
pubmed(2) | Train Loss 0.2701 | Train Acc 0.9833 | Val Loss 0.6534 | Val Acc 0.7660 | Test Loss 0.6583 | Test Acc 0.7590
pubmed(45) | Train Loss 0.1034 | Train Acc 0.9833 | Val Loss 0.5968 | Val Acc 0.8060 | Test Loss 0.6168 | Test Acc 0.7780
cora(45) | Train Loss 0.2733 | Train Acc 0.9714 | Val Loss 0.8765 | Val Acc 0.7920 | Test Loss 0.8146 | Test Acc 0.7950
cora(2) | Train Loss 0.7080 | Train Acc 0.9929 | Val Loss 1.3285 | Val Acc 0.7500 | Test Loss 1.3012 | Test Acc 0.7550
cora(45) | Train Loss 0.4018 | Train Acc 0.9571 | Val Loss 0.8511 | Val Acc 0.8020 | Test Loss 0.8191 | Test Acc 0.7960
